Order ID,Customer Name,Gender,City,State,Purchase Date,Payment Mode,Product,Category,Subcategory,Product Price,Sale Price,Amount,Profit
5d038514-7f7f-4551-be71-ac23495af7d1,Heer Walia,Male,New Delhi,Delhi,05-02-2025,Debit Card,Apple Watch,Wearable,Watch,40000,45000,45000,5000
56de0d27-2a53-4110-b02a-d75c1b14e976,Hiran Kant,Male,Bengaluru,Karnataka,05-11-2024,UPI,Apple TV,Home Entertainment,Apple TV,18000,20000,20000,2000
44fbf834-6890-4877-9f55-b9ccd61647a7,Anaya Dubey,Male,Pune,Maharashtra,03-01-2025,Credit Card,MacBook Pro,Laptop,MacBook,150000,165000,165000,15000
b4ac2b4b-8efc-4c68-a021-6acc2c3d9dc7,Myra Rout,Other,Kolkata,West Bengal,30-08-2024,Credit Card,Apple TV,Home Entertainment,Apple TV,18000,20000,20000,2000
7e2ec9b9-113e-431d-9d29-2217077d97ff,Vanya Sen,Other,Kolkata,West Bengal,28-01-2025,UPI,MacBook Air,Laptop,MacBook,100000,115000,115000,15000
f7f76fd6-d093-4377-9ea2-cc6fad28f220,Kiara Ramachandran,Female,Kolkata,West Bengal,21-02-2025,Net Banking,MacBook Pro,Laptop,MacBook,150000,165000,165000,15000
c1484315-1fe1-4aba-a780-da35cedc5f84,Jhanvi Shan,Male,New Delhi,Delhi,06-08-2024,Net Banking,MacBook Pro,Laptop,MacBook,150000,165000,165000,15000
d6ddb7c9-51b6-4867-9ae0-d83a6433712f,Aaryahi Swamy,Other,Coimbatore,Tamil Nadu,26-09-2024,UPI,iPhone 15 Pro,Smartphone,iPhone,120000,135000,135000,15000
7e9f5563-2f34-4874-8e63-651e21361bc3,Ishita Dey,Other,Kolkata,West Bengal,19-04-2024,Net Banking,AirPods Pro,Audio,AirPods,25000,29000,29000,4000
f347ef70-1599-453b-95fd-7f87a80ee2f7,Manjari Master,Female,Kolkata,West Bengal,31-01-2025,UPI,iPhone 15 Pro,Smartphone,iPhone,120000,135000,135000,15000
9aba15fa-caeb-4562-bf32-61b39c606840,Saanvi Deol,Other,New Delhi,Delhi,14-07-2024,Credit Card,AirPods Pro,Audio,AirPods,25000,29000,29000,4000
3dbe9f31-1409-4844-913b-c468e53eff4e,Romil Saran,Other,Madurai,Tamil Nadu,27-05-2024,Net Banking,Apple Watch,Wearable,Watch,40000,45000,45000,5000
0223bf29-894c-4a27-aee0-6bf53089d219,Krish Bhatia,Female,New Delhi,Delhi,02-08-2024,Credit Card,iPad Air,Tablet,iPad,55000,62000,62000,7000
786feb0c-f467-4d9d-8e8f-c3ea76b58f65,Hridaan Karan,Male,Kolkata,West Bengal,16-02-2025,Credit Card,iPhone 15 Pro,Smartphone,iPhone,120000,135000,135000,15000
82ca431c-7214-4d00-a9a8-7ca44609f402,Ira Bakshi,Other,Madurai,Tamil Nadu,27-02-2025,Debit Card,iPad Air,Tablet,iPad,55000,62000,62000,7000
479c7f69-c0df-4446-b1d0-78ed72169f11,Miraan Vasa,Male,Hubli,Karnataka,15-06-2024,Net Banking,iPad Air,Tablet,iPad,55000,62000,62000,7000
